planner,object,initial_pose_seed,planner_seed,f@5_auc,recall@5_auc,surface_coverage_auc,final_f@5,final_recall@5,final_chamfer_m,score_gain_correlation,oracle_regret,oracle_action_accuracy,planning_time_s
fixed,Cross,7,0,0.7840236501388052,0.6586133333333333,0.6586133333333333,0.9326502294802006,0.8738,0.002848074408926998,,0.07287901499420553,0.2,0.0
fixed,Cross,14,0,0.7969147632146598,0.6763,0.6763,0.9535552958822401,0.9112333333333333,0.0028224956055838174,,0.07280880401335772,0.4,0.0
fixed,Cross,2,0,0.8106658853862647,0.69568,0.69568,0.9053691642493569,0.8271,0.003638112701934129,,0.08916685878825512,0.2,0.0
fixed,Cross,6,0,0.7885192547345288,0.66906,0.66906,0.9293743977730988,0.8680666666666667,0.003005631536402258,,0.08723880833398354,0.2,0.0
fixed,Cross,3,0,0.7969955132808828,0.6805399999999999,0.6805399999999999,0.9357739583887618,0.8793,0.0028748808085684646,,0.08171825651309095,0.2,0.0
fixed,Cross,9,0,0.7971138974087504,0.67913,0.67913,0.954138994927574,0.9123,0.002658807698441426,,0.07449936632054437,0.2,0.0
fixed,Cross,10,0,0.7948071553988247,0.6782633333333333,0.6782633333333333,0.9458519273340595,0.8972666666666667,0.0027337336437956872,,0.08449503058756498,0.2,0.0
fixed,Cross,5,0,0.7938289034349968,0.6754533333333334,0.6754533333333334,0.97096403519303,0.9435666666666667,0.0024865942345452282,,0.06540079213804104,0.4,0.0
fixed,Cross,11,0,0.8129261622704318,0.6995266666666666,0.6995266666666666,0.9460185852056142,0.8975666666666666,0.0028399516346945897,,0.08180116799867872,0.4,0.0
fixed,Cross,0,0,0.7655685566155215,0.6385099999999999,0.6385099999999999,0.919191555283352,0.8504666666666667,0.0031077577808892873,,0.09796347486116266,0.2,0.0
fixed,Bowl,8,0,0.8026604414978099,0.6855833333333334,0.6855833333333334,0.9433085010831088,0.8927,0.002795912613205161,,0.06542539681201295,0.4,0.0
fixed,Bowl,13,0,0.831322521336963,0.7272366666666666,0.7272366666666666,0.9597420160199729,0.9226,0.0026570322027351092,,0.04330626979347259,0.4,0.0
fixed,Bowl,4,0,0.8025920364048804,0.6849433333333332,0.6849433333333332,0.9260976177265486,0.8623666666666666,0.003022217221029943,,0.06909505345248354,0.4,0.0
fixed,Bowl,1,0,0.7584630740178081,0.62707,0.62707,0.9034686940312147,0.8239333333333333,0.0033337783035898073,,0.07967847828285132,0.0,0.0
fixed,Bowl,12,0,0.7939948597013085,0.6750333333333333,0.6750333333333333,0.9360758932529479,0.8798333333333334,0.0029103543837084287,,0.07301074098107119,0.2,0.0
fixed,Bowl,7,0,0.796405086581451,0.6783166666666667,0.6783166666666667,0.9199308755760369,0.8517333333333333,0.003127296002905528,,0.08342719692022653,0.2,0.0
fixed,Bowl,14,0,0.7893652720842955,0.6641666666666667,0.6641666666666667,0.9246348239089524,0.8598333333333333,0.0031246701276169886,,0.08882204795058694,0.2,0.0
fixed,Bowl,2,0,0.7762937651517274,0.6448733333333333,0.6448733333333333,0.8899988899988899,0.8018,0.0034453419611262352,,0.08303991583082751,0.2,0.0
fixed,Bowl,6,0,0.7115366024666668,0.57431,0.57431,0.8545027587391893,0.7459666666666667,0.0035947909590962634,,0.08853857268501877,0.4,0.0
fixed,Bowl,3,0,0.6816803669617396,0.5492566666666667,0.5492566666666667,0.9065062875888463,0.829,0.0032733204617855375,,0.10999425651762129,0.2,0.0
fixed,Bowl,9,0,0.7782084939618356,0.64971,0.64971,0.9060277868942129,0.8282,0.003272345961632494,,0.08609813707758478,0.2,0.0
fixed,Bowl,10,0,0.6938503255558608,0.5615366666666668,0.5615366666666668,0.8596624600881861,0.7538666666666667,0.003677496296442035,,0.0845281594201624,0.2,0.0
fixed,Bowl,5,0,0.7876189016167051,0.6626466666666667,0.6626466666666667,0.9060477327839263,0.8282333333333334,0.0032692268588343995,,0.08234136218293228,0.2,0.0
fixed,Bowl,11,0,0.7591420806092908,0.6347633333333335,0.6347633333333335,0.9225298997952807,0.8562,0.003061622490477416,,0.07876233870358451,0.4,0.0
fixed,Bowl,0,0,0.7525055407865853,0.6258233333333333,0.6258233333333333,0.9471282924175689,0.8995666666666666,0.0028807372685311725,,0.07496158422859951,0.4,0.0
fixed,Cube,8,0,0.7524465402976015,0.6202233333333333,0.6202233333333333,0.9342427794948311,0.8766,0.0032845218944599244,,0.0894861473735025,0.2,0.0
fixed,Cube,13,0,0.7685865176130555,0.6404500000000001,0.6404500000000001,0.9283800678692623,0.8663333333333333,0.003366184477366789,,0.09581657130859247,0.2,0.0
fixed,Cube,4,0,0.8080810394551114,0.68559,0.68559,0.9385227775320654,0.8841666666666667,0.003078402110855679,,0.10204735017888437,0.4,0.0
fixed,Cube,1,0,0.8420416544262931,0.7423599999999999,0.7423599999999999,0.9924264051453424,0.9849666666666667,0.0022403578328472973,,0.0711979292026272,0.4,0.0
fixed,Cube,12,0,0.8367305064944001,0.73522,0.73522,0.9940818482069509,0.9882333333333333,0.00223505238269021,,0.05334972873169212,0.4,0.0
fixed,Cube,7,0,0.8394616248838203,0.7396633333333333,0.7396633333333333,0.9954123832166895,0.9908666666666667,0.0022810083241155657,,0.06230849911278047,0.4,0.0
fixed,Cube,14,0,0.8191037890794466,0.70741,0.70741,0.9350372736954206,0.878,0.0031769986079157675,,0.06660388350192092,0.2,0.0
fixed,Cube,2,0,0.766982539764482,0.6418433333333333,0.6418433333333333,0.9169870579953431,0.8467,0.0033308921371053473,,0.10126397059209455,0.2,0.0
fixed,Cube,6,0,0.8442293832173284,0.7428,0.7428,0.9391608762531162,0.8853,0.0028349502362633376,,0.054786665574105234,0.4,0.0
fixed,Cube,3,0,0.8424242483577364,0.7453666666666667,0.7453666666666667,0.9640347393684066,0.9305666666666667,0.002535907093455159,,0.06405815271373996,0.2,0.0
fixed,Cube,9,0,0.8477176995401562,0.7501766666666667,0.7501766666666667,0.9987985582699239,0.9976,0.002111789169210408,,0.06910789190118258,0.4,0.0
fixed,Cube,10,0,0.8301628498262756,0.72625,0.72625,0.9896778756293465,0.9795666666666667,0.0022512272400181596,,0.057570817716997215,0.4,0.0
fixed,Cube,5,0,0.7068971179853714,0.5680900000000001,0.5680900000000001,0.9367169363270659,0.8809666666666667,0.002883444882853977,,0.09036738666749175,0.4,0.0
fixed,Cube,11,0,0.8494223313758293,0.7523299999999999,0.7523299999999999,0.9310719566727833,0.8710333333333333,0.0032931286721723163,,0.08868385931395169,0.2,0.0
fixed,Cube,0,0,0.7140186568139784,0.5855766666666666,0.5855766666666666,0.926405067368082,0.8629,0.0029975392588715284,,0.11977646460653073,0.4,0.0
fixed,Thin_Irregular,8,0,0.8123452931679637,0.7016533333333332,0.7016533333333332,0.967155546374716,0.9364,0.0024950314720628055,,0.07961600809476213,0.4,0.0
fixed,Thin_Irregular,13,0,0.8212451230536825,0.7141533333333333,0.7141533333333333,0.945611106229681,0.8968333333333334,0.002856682985057705,,0.0705474280658672,0.2,0.0
fixed,Thin_Irregular,4,0,0.8272880362493439,0.7226566666666667,0.7226566666666667,0.9293935014185536,0.8681,0.0034439376891100657,,0.09402733189465147,0.2,0.0
fixed,Thin_Irregular,1,0,0.7813835844588123,0.6512533333333332,0.6512533333333332,0.9183732333429477,0.8490666666666666,0.0038873710182589197,,0.10758028212545134,0.2,0.0
fixed,Thin_Irregular,12,0,0.7923892736695295,0.6693066666666667,0.6693066666666667,0.948198790428609,0.9015,0.002698514861200538,,0.09878546963530951,0.4,0.0
fixed,Thin_Irregular,7,0,0.8038698693892454,0.6916666666666667,0.6916666666666667,0.9486595409146661,0.9023333333333333,0.0027682531480267814,,0.07394871797986502,0.4,0.0
fixed,Thin_Irregular,14,0,0.7110987814882039,0.5742933333333333,0.5742933333333333,0.9201058296286964,0.8520333333333333,0.0032117920314519133,,0.08298329463771574,0.4,0.0
fixed,Thin_Irregular,2,0,0.7595629232584502,0.62886,0.62886,0.9359815570136549,0.8796666666666667,0.003461130116381589,,0.10072515712171204,0.4,0.0
fixed,Thin_Irregular,6,0,0.8163105306964449,0.7114666666666667,0.7114666666666667,0.9401727518414499,0.8871,0.003233400218037235,,0.06407422586997509,0.2,0.0
