planner,object,initial_pose_seed,planner_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
actnerf,Corner,13,1,0.32421875,0.20390625,50.205702665744866,87.12244673559923
actnerf,Corner,13,2,0.3984375,0.242578125,65.90400000006652,98.05205287645067
actnerf,Corner,14,0,0.3828125,0.226171875,75.5402795466076,103.029991938157
actnerf,Corner,14,1,0.3828125,0.226171875,75.5402795466076,103.029991938157
actnerf,Corner,14,2,0.20703125,0.1484375,33.936035214537256,67.31907593106453
actnerf,Cross,0,0,0.19140625,0.153125,39.7712992371097,75.26457363237131
actnerf,Cross,0,1,0.3203125,0.205859375,65.12590358801313,94.88260569567049
actnerf,Cross,0,2,0.26953125,0.19375,57.01393895143315,91.22739782396064
actnerf,Cross,1,0,0.140625,0.116015625,24.218192775354957,65.83610494098009
actnerf,Cross,1,1,0.35546875,0.2140625,68.50892084730572,95.24110069651123
actnerf,Cross,1,2,0.25,0.180078125,53.945025775927355,88.55745020141066
actnerf,Cross,2,0,0.34765625,0.215234375,70.06217018302262,96.63740456233161
actnerf,Cross,2,1,0.34375,0.21484375,67.3705133458573,96.05874543156531
actnerf,Cross,2,2,0.39453125,0.243359375,73.35705899100388,102.91637152735031
actnerf,Cross,3,0,0.203125,0.15234375,32.448106088157985,58.47897693255535
actnerf,Cross,3,1,0.33984375,0.233984375,62.091485705299974,97.29946424863326
actnerf,Cross,3,2,0.27734375,0.214453125,52.284991572496736,91.76649184090196
actnerf,Cross,4,0,0.2578125,0.134765625,50.92326387358802,91.05122497624258
actnerf,Cross,4,1,0.2578125,0.134765625,50.92326387358802,91.05122497624258
actnerf,Cross,4,2,0.3203125,0.194140625,70.06217018219812,96.63740456191937
actnerf,Cross,5,0,0.33203125,0.215234375,44.60803536323935,87.5693964348807
actnerf,Cross,5,1,0.38671875,0.228515625,73.24196770976873,101.95114146923441
actnerf,Cross,5,2,0.2734375,0.18828125,53.74407072539741,83.77580077454584
actnerf,Cross,6,0,0.2734375,0.146875,50.923263874824784,91.05122497665482
actnerf,Cross,6,1,0.40234375,0.242578125,55.25695597495146,93.33741394616513
actnerf,Cross,6,2,0.33203125,0.229296875,64.89603536311252,85.32517890505501
actnerf,Cross,7,0,0.3359375,0.212109375,63.43695621021184,97.65697343034621
actnerf,Cross,7,1,0.3125,0.213671875,61.856035363214154,88.64646460840999
actnerf,Cross,7,2,0.2421875,0.192578125,50.70407072467454,82.81603536232072
actnerf,Cross,8,0,0.32421875,0.2046875,44.608035363651595,87.56939643501813
actnerf,Cross,8,1,0.20703125,0.17890625,32.448106089394756,48.41729852237551
actnerf,Cross,8,2,0.38671875,0.22421875,74.58892084710241,101.18786601835177
actnerf,Cross,9,0,0.390625,0.228515625,73.25608113493197,98.13814871718368
actnerf,Cross,9,1,0.32421875,0.221875,60.40541654297097,94.35841935155209
actnerf,Cross,9,2,0.20703125,0.16328125,39.771299238758694,75.26457363250871
actnerf,Cross,10,0,0.32421875,0.205859375,54.752035363588185,79.64979156700844
actnerf,Cross,10,1,0.31640625,0.185546875,54.8494443693516,92.81112799933622
actnerf,Cross,10,2,0.38671875,0.229296875,61.63621548831213,94.76342213121292
actnerf,Cross,11,0,0.328125,0.178125,65.34509673568984,100.66995612600694
actnerf,Cross,11,1,0.19140625,0.151171875,39.77129923587294,75.2645736318216
actnerf,Cross,11,2,0.3203125,0.1984375,50.26141654179763,85.2828940252053
actnerf,Cross,12,0,0.32421875,0.22109375,60.39695621072574,90.04410781672884
actnerf,Cross,12,1,0.265625,0.152734375,43.600070726285345,72.40846755578356
actnerf,Cross,12,2,0.32421875,0.1921875,53.29295621068751,94.05994185054969
actnerf,Cross,13,0,0.2578125,0.197265625,39.05373803050326,77.22726387596859
actnerf,Cross,13,1,0.2578125,0.197265625,39.05373803050326,77.22726387596859
actnerf,Cross,13,2,0.3125,0.226171875,58.816035363315805,91.60534512101442
actnerf,Cross,14,0,0.34375,0.205859375,70.06217018261036,96.6374045620568
actnerf,Cross,14,1,0.3203125,0.219921875,62.091485705299974,97.29946424863326
actnerf,Cross,14,2,0.20703125,0.1484375,33.936035214537256,67.31907593106453
actnerf,Cube,0,0,0.3203125,0.178515625,62.59020562417072,98.82265718448296
actnerf,Cube,0,1,0.3203125,0.205859375,65.12590358801313,94.88260569567049
actnerf,Cube,0,2,0.19140625,0.153125,39.7712992371097,75.26457363237131
actnerf,Cube,1,0,0.140625,0.116015625,24.218192775354957,65.83610494098009
actnerf,Cube,1,1,0.20703125,0.16953125,24.062000831341386,62.41947913906526
actnerf,Cube,1,2,0.3671875,0.211328125,65.9040000000665,98.05205287645066
actnerf,Cube,2,0,0.34765625,0.215234375,70.06217018302262,96.63740456233161
actnerf,Cube,2,1,0.34375,0.21484375,67.3705133458573,96.05874543156531
