object,initial_pose_seed,mean_branch_first_second_error_deg,max_branch_first_second_error_deg,planner,selected_action,selected_gain_f@5,selected_gain_recall@5,selected_chamfer_reduction_mm,selected_recovery_recall@5,score_gain_correlation,oracle_regret_f@5,oracle_action_accuracy,selected_first_second_error_deg,selected_accepted_frames,planning_time_s
Cylinder,11,48.68736012596171,65.02729438501424,ray_gpis,plus_z,0.31191220449532464,0.4302666666666667,9.005337020935952,0.7963968410661402,-1.0,0.01582861852836326,0.0,62.36592637265595,13,0.890787807002198
Cylinder,12,33.91790406974176,65.46209248772897,pose_novelty,minus_x,0.37968799794738495,0.5392666666666668,11.021242174099907,0.9585998578535891,1.0,0.0,1.0,17.62276010128139,17,0.000191704006283544
Cylinder,12,33.91790406974176,65.46209248772897,ray_gpis,plus_z,0.20577714635382216,0.2494,7.385353029693924,0.4431414356787491,-0.5,0.1739108515935628,0.0,65.46209248772897,11,0.12756105601147283
Cylinder,13,43.90007286406924,52.268448080867074,pose_novelty,minus_x,0.4196870907695617,0.5291666666666666,13.42606002511899,0.808258235324067,1.0,0.0,1.0,45.08940537858663,17,0.00019904799410142004
Cylinder,13,43.90007286406924,52.268448080867074,ray_gpis,plus_z,0.35068087947927373,0.41530000000000006,12.110913343507645,0.6346418206812281,-0.5,0.06900621129028794,0.0,52.268448080867074,9,0.12013799900887534
Cylinder,14,29.45262583239553,49.052655247518686,pose_novelty,minus_x,0.3658381311878397,0.5036666666666667,10.193164069652033,0.8792141362473843,1.0,0.0,1.0,20.636362629452986,16,0.00019717100076377392
Cylinder,14,29.45262583239553,49.052655247518686,ray_gpis,minus_y,0.27709861582083073,0.35140000000000005,8.498489677984939,0.6128807254126947,0.5,0.08873951536700897,0.0,18.668859620214928,9,0.1318021999904886
L_Shaped,0,35.76264768796593,55.322817829862394,pose_novelty,minus_x,0.3147231852608785,0.47716666666666663,6.818301913206827,0.9923071591932913,1.0,0.0,1.0,17.62276010128139,18,0.0004462969955056906
L_Shaped,0,35.76264768796593,55.322817829862394,ray_gpis,minus_x,0.3147231852608785,0.47716666666666663,6.818301913206827,0.9923071591932913,1.0,0.0,1.0,17.62276010128139,18,0.13632513899938203
L_Shaped,1,33.8892928196699,62.36265620934178,pose_novelty,minus_y,0.38381514405287465,0.47043333333333337,11.882721813119243,0.7229408456465054,-0.5,0.06872269280207222,0.0,18.668859620214928,9,0.00019323999003972858
L_Shaped,1,33.8892928196699,62.36265620934178,ray_gpis,plus_z,0.45031811542022016,0.5874666666666667,13.436591371045012,0.9013241985786594,-0.5,0.002219721434726707,0.0,62.36265620934178,24,0.12960598200152162
L_Shaped,2,57.54210500044232,65.46209248772897,pose_novelty,minus_x,0.3261048874214689,0.46736666666666665,8.939549170185975,0.8914728682170543,0.5,0.0,1.0,65.02729438501424,16,0.00021489600476343185
L_Shaped,2,57.54210500044232,65.46209248772897,ray_gpis,plus_z,0.2736647765758087,0.37320000000000003,8.21481178459139,0.7119710255432711,0.5,0.05244011084566025,0.0,65.46209248772897,11,0.9834752559982007
L_Shaped,3,59.49026598079633,65.02729438501424,pose_novelty,minus_y,0.27940469995642114,0.3758666666666666,9.050921451271824,0.700397318102806,-0.5,0.07307955033075064,0.0,51.080847348032975,24,0.0002017110091401264
